"product_id","sku","url","title","color","sale_price/amount","sale_price/amount_with_symbol","retail_price/amount","retail_price/amount_with_symbol","discount_percentage","category_name","category_id","description","reviews_count","average_rating"
"26766842","sm2311228883947867","https://us.shein.com/Men-s-Round-Neck-Short-Sleeve-T-shirt-p-26766842-cat-1980.html","Men's Round Neck Short Sleeve T-shirt","Multicolor","17.49","$17.49","24.99","$24.99","30","Men T-Shirts","1980","Color: Multicolor
Style: Casual
Pattern Type: Plain
Neckline: Round Neck
Sleeve Type: Roll Up Sleeve
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","100","4.85"
"30884446","sm2403023808360103","https://us.shein.com/Mens-Best-Husband-In-The-Galaxy-Funny-Smart-Love-Valentines-Day-T-Shirt-Heather-Black-S-p-30884446-cat-1980.html","Mens Best Husband In The Galaxy Funny Smart Love Valentines Day T Shirt (Heather Black) - S","Heather Black","9.99","$9.99","9.99","$9.99","0","Men T-Shirts","1980","Color: Heather Black
Style: Casual
Length: Regular
Features: Great quality
Fabric: Medium Stretch
Material: Composite Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"14503075","sm2303076952520940","https://us.shein.com/Manfinity-RSRT-Men-Tropical-Print-Shirt-Drawstring-Waist-Shorts-Without-Tee-p-14503075-cat-9037.html","Manfinity RSRT Men Tropical Print Shirt & Drawstring Waist Shorts Without Tee","Multicolor","13.24","$13.24","19.19","$19.19","31","Men Shirt Co-ords","9037","Color: Multicolor
Style: Boho
Pattern Type: Tropical
Neckline: Collar
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Non-Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","4.92"
"24513726","sm2309226257620122","https://us.shein.com/Manfinity-Homme-Men-Plus-Solid-Button-Up-Shirt-Shorts-p-24513726-cat-9039.html","Manfinity Homme Men Plus Solid Button Up Shirt & Shorts","White","19.19","$19.19","25.59","$25.59","25","Men Plus Size Shirt Co-ords","9039","Color: White
Style: Casual
Pattern Type: Plain
Neckline: Collar
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Non-Stretch
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No
","40","4.43"
"1357017","smshorts01200629015","https://us.shein.com/Manfinity-Basics-Men-3pcs-Drawstring-Waist-Track-Shorts-p-1357017-cat-1976.html","Manfinity Basics Loose Men's 3pcs Drawstring Waist Athletic Shorts","Multicolor","14.95","$14.95","25.39","$25.39","41","Men Shorts","1976","Color: Multicolor
Style: Casual
Pattern Type: Colorblock
Details: Drawstring
Details: Pocket
Type: Track Shorts
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Short
Fit Type: Loose
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
Number of Pieces: 3 Piece Set
","1000","5"
"29152499","sm2401049117267763","https://us.shein.com/Manfinity-Hypemode-Men-s-Tie-Dye-Letter-Print-Short-Sleeve-T-Shirt-p-29152499-cat-1980.html","Manfinity Hypemode Men's Tie Dye Letter Print Short Sleeve T-Shirt","Multicolor","4.56","$4.56","7.39","$7.39","38","Men T-Shirts","1980","Color: Multicolor
Style: Casual
Pattern Type: Letter
Pattern Type: Ombre
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","4.95"
"23511149","sm2309106213476167","https://us.shein.com/Manfinity-Homme-Loose-Fit-Men-s-Letter-Graphic-Drop-Shoulder-T-Shirt-p-23511149-cat-1980.html","Manfinity Homme Loose Fit Men's Letter Graphic Drop Shoulder T-Shirt","Green","8.59","$8.59","9.69","$9.69","11","Men T-Shirts","1980","Color: Green
Style: Casual
Pattern Type: Letter
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Drop Shoulder
Length: Regular
Fit Type: Loose
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","4.87"
"30886671","sm2403028158752778","https://us.shein.com/Mens-Sweet-As-Pi-Tshirt-Funny-Smart-Math-Problem-Graphic-Novelty-Tee-Heather-Navy-3XL-p-30886671-cat-1980.html","Mens Sweet As Pi Tshirt Funny Smart Math Problem Graphic Novelty Tee (Heather Navy) - 3XL","Heather Navy","11.99","$11.99","11.99","$11.99","0","Men T-Shirts","1980","Color: Heather Navy
Style: Casual
Length: Regular
Features: Great quality
Fabric: Medium Stretch
Material: Composite Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"23602334","sm2309054105562861","https://us.shein.com/Manfinity-Men-Flap-Pocket-Side-Cargo-Pants-p-23602334-cat-1978.html","Manfinity Men Flap Pocket Side Cargo Pants","Army Green","15.53","$15.53","20.99","$20.99","26","Men Pants","1978","Color: Army Green
Style: Street
Pattern Type: Plain
Type: Cargo Pants
Waist Line: Natural
Length: Cropped
Fit Type: Regular Fit
Fabric: Non-Stretch
Material: Woven Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Temperature: Spring/Fall (18-25℃/63-77℉)
Body: Unlined
Sheer: No
","1000","4.88"
"21164950","sm2307283367331184","https://us.shein.com/Manfinity-Homme-Men-Plus-Solid-Tee-Shorts-p-21164950-cat-6317.html","Manfinity Homme Men Plus Solid Tee & Shorts","Blue","20.89","$20.89","23.79","$23.79","12","Men Plus Size T-Shirt Co-ords","6317","Color: Blue
Style: Casual
Pattern Type: Plain
Details: Drawstring
Details: Pocket
Top Type: Tee
Bottom Type: Track Shorts
Neckline: Round Neck
Sleeve Type: Regular Sleeve
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Slight Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
","100","4.83"
